10000,Intro to Python ,1000
10033,Java Programming,1000
11300,Systems Design and Analysis,1000
13234,Computer Architecture and Organization,1000
41241,Data Structure ,2000
24141,UNIX Operating Systems,2000
32314,Software Engineering,2000
14124,Computer Networking,2000
23523,Media and Sport,3000
24022,Accounting II,4000
25023,Introduction to Sociology,5000
38475,Technical Drawing and CAD,6000
38476,Technical Writing ll,7000
49878,Precalculus,1000
49878,Precalculus ,2000
49879,Precalculus,6000
56678,Linear Algebra,2001
56678,Linear Algebra,3001
56678,Linear Algebra,4001
67857,College Physics I,2000
67858,College Physics II,2000
76777,Engineering Economics,2000
76777,Engineering Economics,7000
87886,Microprocessors,2000
87887,Amplifiers,2000
