1000,Computer Science,123,21
2000,Computer Engineering,287,24
3000,Sports Management,896,27
4000,Business Management,123,24
5000,Pyschology,123,21
6000,Mechanical Engineering,287,30
7000,Electrical Engineering,838,30
8000,CIvil Engineerng,456,21
9000,Chemical Engineering,732,24
1001,Physics,789,27
2001,Nuclear Enginering,866,24
3001,Chemistry ,823,21
4001,Nursing,321,30
5001,Dentist Undergrad,432,21
6001,Nutrion Sceince,965,24
7001,Computer Security,835,24
8001,Areospace Engineering,234,21
9001,Physical Education,345,27
1100,Biology ,654,24
2100,Pre-med,838,21
2200,Areospace Engineering,456,30
2300,CIvil Engineerng,732,21
2400,Chemical Engineering,789,24
2500,Electrical Engineering,866,27
2600,History,789,30
2700,Computer Programming,432,24
2800,Photography,965,21
2900,Mathematics,835,24
